
--- season 2023 ---
  propositions 298,293  candidates 571,610  closing 0

--- season 2024 ---
  propositions 445,614  candidates 863,094  closing 0

--- season 2025 ---
  propositions 421,428  candidates 790,209  closing 2,004

--- season 2026 ---
  propositions 345,585  candidates 658,945  closing 2,769,066

total: propositions 1,510,920  candidates 2,883,858  closing quotes 2,771,070
  [batter_hits] fold 2026-07-22 train=274618 thr=0.045 shrink=0.58 gain=+0.00037 bets=336
  [batter_hits] fold 2026-09-05 train=288647 thr=0.037 shrink=0.60 gain=+0.00038 bets=84
  bets=8412 roi=-0.0040 [-0.0341,+0.0258] p=0.6071 clv=+0.00414 -> FAIL negative_edge

=== batter_rbis ===
  [batter_rbis] fold 2024-05-03 train=40808 thr=0.010 shrink=0.33 gain=+0.00035 bets=765
  [batter_rbis] fold 2024-06-17 train=51385 thr=0.072 shrink=0.23 gain=+0.00016 bets=32
  [batter_rbis] fold 2024-08-01 train=61214 thr=0.055 shrink=0.30 gain=+0.00019 bets=71
  [batter_rbis] fold 2024-09-15 train=71759 thr=0.030 shrink=0.20 gain=+0.00009 bets=62
  [batter_rbis] fold 2025-03-14 train=75210 thr=0.033 shrink=0.23 gain=+0.00010 bets=2
  [batter_rbis] fold 2025-04-28 train=82546 thr=0.015 shrink=0.30 gain=+0.00017 bets=1084
  [batter_rbis] fold 2025-06-12 train=93087 thr=0.058 shrink=0.30 gain=+0.00015 bets=34
  [batter_rbis] fold 2025-07-27 train=102926 thr=0.065 shrink=0.35 gain=+0.00025 bets=18
  [batter_rbis] fold 2025-09-10 train=113670 thr=0.100 shrink=0.35 gain=+0.00018 bets=14
  [batter_rbis] fold 2026-03-09 train=118091 thr=0.062 shrink=0.38 gain=+0.00023 bets=50
  [batter_rbis] fold 2026-04-23 train=124511 thr=0.043 shrink=0.30 gain=+0.00015 bets=70
  [batter_rbis] fold 2026-06-07 train=134750 thr=0.060 shrink=0.28 gain=+0.00012 bets=38
  [batter_rbis] fold 2026-07-22 train=144464 thr=0.043 shrink=0.38 gain=+0.00018 bets=265
  [batter_rbis] fold 2026-09-05 train=155208 thr=0.003 shrink=0.30 gain=+0.00010 bets=307
  bets=2812 roi=-0.0319 [-0.0774,+0.0144] p=0.9093 clv=+0.00302 -> FAIL negative_edge

=== batter_total_bases ===
  [batter_total_bases] fold 2024-05-03 train=75066 thr=0.090 shrink=0.50 gain=+0.00100 bets=152
  [batter_total_bases] fold 2024-06-17 train=96104 thr=0.092 shrink=0.53 gain=+0.00087 bets=198
  [batter_total_bases] fold 2024-08-01 train=115459 thr=0.065 shrink=0.58 gain=+0.00094 bets=259
  [batter_total_bases] fold 2024-09-15 train=136212 thr=0.040 shrink=0.65 gain=+0.00099 bets=173
  [batter_total_bases] fold 2025-03-14 train=143038 thr=0.120 shrink=0.62 gain=+0.00100 bets=195
  [batter_total_bases] fold 2025-04-28 train=157632 thr=0.088 shrink=0.68 gain=+0.00101 bets=256
